ACER,,
"Processor: Intel Core™ Ultra 9 386H 16C (4P + 8E + 4LPE) / 16T, Max Turbo 4.9GHz, 18MB Intel® Smart Cache, Memory: 32GB LPDDR5X-7467 RAM, Storage: 1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Dislplay: 16"" 3.2K (3200x2000) Tandem OLED Touchscreen 1600nits (peak) / 1000nits (typical) Glossy / Anti-fingerprint, 100% sRGB, 120Hz, Dolby Vision®, DisplayHDRTM 1000, Corning® Gorilla® Glass 3, Wi-Fi® 7, 802.11be 2x2 + BT5.4, Lenovo Pen Gen 2",,
Video Card: NVIDIA GeForce RTX™ 5060 8GB GDDR7,,
"Windows 11 Home x64, preinstalado.
 Peso 1,99Kg. - 5MP Webcam with Microphone",,
MICROSOFT,,
"MICROSOFT SURFACE LAPTOP (EP2-59488) 13.8"" 2K TOUCHSCREEN SILVER",USD 1.850,STK
"Processor: Qualcomm Snapdragon X2 Elite X2E-80-100 (12-Core), Memory: 16GB LPDDR5x RAM, Storage: 512GB SSD, Video Card: Integrated Snapdragon Qualcomm Adreno Graphics, Display: 13.8"" Touchscreen PixelSense Flow™ 2304 x 1536 Screen Resolution Refresh Rate: 120Hz Brightness: 600 nits, Wi-Fi 7 (802.11be) | Bluetooth 5.4, Display connection via USB port",,
"Windows 11 Home, preinstalado.
 Peso: 1,40Kg. - Front Facing Camera Video Resolution 1440p (2K), 10MP Ultra HD Rear Camera",,
"MICROSOFT SURFACE LAPTOP (EP2-59499) 13.8"" 2K TOUCHSCREEN BLACK",USD 1.850,STK
"Processor: Qualcomm Snapdragon X2 Elite X2E-80-100 (12-Core), Memory: 16GB LPDDR5x RAM, Storage: 512GB SSD, Video Card: Integrated Snapdragon Qualcomm Adreno Graphics, Display: 13.8"" Touchscreen PixelSense Flow™ 2304 x 1536 Screen Resolution Refresh Rate: 120Hz Brightness: 600 nits, Wi-Fi 7 (802.11be) | Bluetooth 5.4, Display connection via USB port",,
"Windows 11 Home, preinstalado.
 Peso: 1,40Kg. - Front Facing Camera Video Resolution 1440p (2K), 10MP Ultra HD Rear Camera",,
"MICROSOFT SURFACE LAPTOP (EP2-59285) 13.8"" 2K PLUS TOUCHSCREEN PLATINUM",USD 2.300,STK
"Processor: Qualcomm Snapdragon X2 Elite X2E-80-100 (12-Core), Memory: 16GB LPDDR5x RAM, Storage: 1TB SSD, Video Card: Integrated Snapdragon Qualcomm Adreno Graphics, Display: 13.8"" LCD PixelSense Flow Touchscreen 2304 x 1536 Screen Resolution Refresh Rate: 120Hz Brightness: 600 nits, Wi-Fi 7 (802.11be) | Bluetooth 5.4, Display connection via USB port",,
"Windows 11 Home, preinstalado.
 Peso: 1,40Kg. - Front Facing Camera Video Resolution 1440p (2K), 10MP Ultra HD Rear Camera",,
"MICROSOFT SURFACE LAPTOP 8th Edition (EP2-60881) 15"" 3K PLUS TOUCHSCREEN PLATINUM",USD 1.950,STK
"Processor: Qualcomm Snapdragon X2 Plus X2P-64-100 (10-Core), Memory: 16GB LPDDR5x RAM, Storage: 512GB SSD, Video Card: Integrated Snapdragon Qualcomm Adreno Graphics, Display: 15"" LCD PixelSense Flow Touchscreen 3270 x 2180 Screen Resolution Refresh Rate: 120Hz Brightness: 600 nits, Wi-Fi 7 (802.11be) | Bluetooth 5.4, Display connection via USB port",,
"Windows 11 Home, preinstalado.
 Peso: 1,40Kg. - Front Facing Camera Video Resolution 1440p (2K), 10MP Ultra HD Rear Camera",,
"MICROSOFT SURFACE LAPTOP 8th Edition (EP2-60139) 15"" 3K PLUS TOUCHSCREEN BLACK",USD 2.400,STK
"Processor: Qualcomm Snapdragon X2 Elite X2E-80-100 (12-Core), Memory: 16GB LPDDR5x RAM, Storage: 1TB SSD, Video Card: Integrated Snapdragon Qualcomm Adreno Graphics, Display: 15"" LCD PixelSense Flow Touchscreen 3270 x 2180 Screen Resolution Refresh Rate: 120Hz Brightness: 600 nits, Wi-Fi 7 (802.11be) | Bluetooth 5.4, Display connection via USB port",,
"Windows 11 Home, preinstalado.
 Peso: 1,40Kg. - Front Facing Camera Video Resolution 1440p (2K), 10MP Ultra HD Rear Camera",,
MSI,,
"MSI Venture 16 AI (A2HMTG-032US) 16"" OLED TOUCHSCREEN LAPTOP BLACK",USD 1.750,STK
"Processor:2.7 - 5.4 GHz Intel® Core™ Ultra 9 285H (16 Cores), Memory: 32GB LPDDR5x RAM, Storage: 1TB SSD, Video Card: Integrated Intel® Arc™ 140T GPU, Display: 16"" OLED (2048 x 1280) Touchscreen 100% DCI-P3, Intel WiFi 6E AX211 & Bluetooth 5.32",,
"Windows 11 Home, preinstalado.
 Peso: 1,90Kg. -720p HD Webcam",,
"MSI Prestige 16 AI+ Copilot (C3MTG-227US) 16"" 2.8K OLED TOUCHSCREEN LAPTOP BLACK",USD 2.050,STK
"Processor: Intel® Core™ Ultra X7 358H (up to 4.8 GHz with Intel® Turbo Boost Technology, 18 MB L3 cache, 16 cores, 16 threads), Memory: 32GB LPDDR5x 8533MHz RAM, Storage: 1TB M.PCIe NVMe Solid State Drive, Video Card: Integrated Intel® Arc™ B390 GPU Graphics (12 Xe-cores), Display: 16"" 2.8K OLED (2880x1800), 120Hz, 100% DCI-P3, Touchscreen, Wi-Fi 7 + Bluetooth 6.0",,
"Windows 11 Home, preinstalado.
 Peso: 1,45Kg. - FHD (1080p) IR Webcam with Privacy Shutter",,
SAMSUNG,,
"SAMSUNG GALAXY BOOK 5 PRO (NP940XHA-KG1US) 14"" 3K AMOLED TOUCHSCREEN LAPTOP GRAY",USD 1.550,STK
"Processor: 3.6 gigahertz Intel Core Ultra 7 256V, Memory: 16GB LPDDR5X 7467 Mhz RAM, Storage: 512GB PCIe® NVMe™ M.2 Solid State Drive, Video Card: Integrated Intel Arc, Display: 14"" 2880 x 1800 AMOLED Touchscreen Refresh Rate 120Hz, AX Wi-Fi 6E Bluetooth",,
"Microsoft® Windows 11 Home (64-bit) , preinstalado
 Peso 1.23Kg, Integrated 720p Webcam",,
"SAMSUNG GALAXY BOOK 4 EDGE (NP750XQB-KA2US) 15.6"" FHD LED LATOP SHAPPIRE BLUE [Pad Numérico]",USD 920,STK
"Processor: 3 gigahertz Snapdragon X X1-26-100, Memory: 16GB LPDDR5X RAM, Storage: 512GB UFS, Video Card: 
 Snapdragon Qualcomm Adreno Integrated, Display: 15.6"" Full HD (1920 x 1080) IPS Copilot+ PC Refresh Rate: 60Hz, Anti-glare, Brightness: 300 nits Wi-Fi 7, Bluetooth",,
"Microsoft® Windows 11 Home (64-bit) , preinstalado
 Peso 1.50Kg, Integrated 720p Webcam",,
"SAMSUNG GALAXY BOOK 5 360 Copilot+ PC (NP750QHA-KA1US) 15.6"" FHD OLED AMOLED TOUCHSCREEN LAPTOP GRAY [Pad Numérico]",USD 1.800,STK
"Processor: 2.2 gigahertz Intel Core Ultra 7 Series 2 256V (8-core), Memory: 16GB LPDDR5X RAM, Storage: 512GB PCIe® NVMe™ M.2 Solid State Drive, Video Card: Intel Arc Integrated, display: 15.6"" Full HD (1920 x 1080) Oled amoled Touchscreen 60Hz, Wi-Fi, Bluetooth",,
"Microsoft® Windows 11 Home (64-bit) , preinstalado
 Peso 1.23Kg, Integrated 720p Webcam",,
"SAMSUNG GALAXY BOOK6 PRO (NP940XJG-KG2US) 14"" 3K AMOLED TOUCHSCREEN LAPTOP GRAY",USD 1.850,STK
"Processor: Processor: Intel® Core™ Ultra 7 356H (18M Cache, up to 4.70 GHz), Intel® NPU, Memory: 16GB LPDDR5X, Storage: 512GB NVMe SSD, Display: 14"" WQXGA+ (2880 x 1800) Touchscreen Dynamic AMOLED 2X, Anti-Reflective, Wi-Fi 7, 802.11 a/b/g/n/ac/ax/be, Bluetooth v5.4, FingerPrint Reader",,
Video Card: Intel® Graphics,,
"Microsoft® Windows 11 Home (64-bit) , preinstalado
 Peso 2.73Kg, 2M Camera, Internal Dual Array Digital Mic",,
"SAMSUNG GALAXY BOOK 6 (NP760XJG-KG2US) 16"" TOUCHSCREEN IPS LED TOUCHSCREEN LAPTOP GRAY",USD 1.550,STK
"Processor: Intel Core Ultra 7 Series 3 355 L3 12 megabytes, Memory: 16GB LPDDR5X, Storage: 512GB SSD, Video Card: Intel Arc Integrated Graphics, Display: 16"" Full HD+ (1920 x 1200) LED IPS Touch Screen Refresh Rate 120Hz Brightness: 350 nits, Wi-Fi, Bluetooth",,
"Microsoft® Windows 11 Home (64-bit) , preinstalado
 Peso 1.85Kg, Integrated 1080p Webcam",,
SAMSUNG GALAXY BOOK 5 PRO 360 (NP960QHA-KG3US) Copilot+ PC 16” 3K AMOLED TOUCHSCREEN LAPTOP 2-in-1 GRAY [Pad Numérico] S Pen Included,USD 2.200,STK
"Processor: Intel® Core™ Ultra 7 258V (P-core Up to 4.8 GHz 12 MB LLC Cache), NPU - Intel® AI Boost, Memory: 32GB LPDDR5X RAM, Storage: 1TB NVMe SSD, Video Card: Intel® Arc™ 140V GPU (16 GB), Display: 16"" WQXGA+ AMOLED Display (2880 x 1800), Anti-Reflective, Touchscreen Panel, S Pen Support, Wi-Fi 7, 802.11 be, Bluetooth v5.4",,
"Microsoft® Windows 11 Home (64-bit) , preinstalado
 Peso 1.65Kg, 2M Camera, Internal Dual Array Digital Mic",,
"SAMSUNG GALAXY BOOK6 PRO (NP960XJG-KA2US) 16"" 3K AMOLED TOUCHSCREEN LAPTOP GRAY",USD 2.400,STK
"Processor: Processor: Intel® Core™ Ultra 7 356H (18M Cache, up to 4.70 GHz), Intel® NPU, Memory: 16GB LPDDR5X RAM, Storage: 1TB NVMe SSD, Video Card: Intel® Graphics, Display: 16"" WQXGA+ (2880 x 1800) Touchscreen Dynamic AMOLED 2X, Anti-Reflective 120Hz, Wi-Fi 7, 802.11 a/b/g/n/ac/ax/be, Bluetooth v5.4, FingerPrint Reader",,
"Microsoft® Windows 11 Home (64-bit) , preinstalado
 Peso 2.73Kg, 2M Camera, Internal Dual Array Digital Mic",,
ASUS GAMER,,
"ASUS ROG Strix G16 (G615LP-MS96) 16""2.5K GAMING NOTEBOOK 240Hz ECLIPSE GRAY",USD 2.800,CONS
"Processor: 2.1GHz Intel Core Ultra 9 Series 2 Core Ultra 275HX, Memory: 32GB DDR5 5600MHz RAM, Storage: 1TB PCIe® 4.0 NVMe™ M.2 Solid State Drive, Display: 16"" 2.5K (2560x1600) IPS Anti-Glare Refresh Rate 240Hz Brightness: 500 nits, 2.5Gb 10/100/1000/2500Mbps LAN Wi-Fi 7 802.11be+Bluetooth 5.4 Wireless Card",,
Video Card: NVIDIA GeForce RTX 5070 8GB GDDR7,,
"Windows 11 Home x64, preinstalado.
 Peso 3,00Kg. - 720P HD camera 2-speaker system with Smart Amplifier Technology",,
"ASUS ROG Strix G16 (G615LR-MS97) 16"" 2.5K GAMING NOTEBOOK ECLIPSE GRAY",USD 3.400,STK
"Processor: 2.1GHz Intel Core Ultra 9 Series 2 Core Ultra 275HX, Memory: 32GB DDR5 5600MHz RAM, Storage: 2TB PCIe® 4.0 NVMe™ M.2 Solid State Drive, Display: 16"" 2.5K (2560x1600) IPS Anti-Glare Refresh Rate 240Hz Brightness: 500 nits, 
 2.5Gb 10/100/1000/2500Mbps LAN Wi-Fi 7 802.11be+Bluetooth 5.4 Wireless Card",,
Video Card: NVIDIA GeForce RTX 5070 Ti 12GB GDDR7,,
"Windows 11 Home x64, preinstalado.
 Peso 3,00Kg. - 720P HD camera 2-speaker system with Smart Amplifier Technology",,
"ASUS ROG ZEPHYRUS G16 (GU605CX-G16.U9X5090) 16"" 2.5K OLED GAMING LAPTOP IPS 240Hz ECLIPSE GRAY",USD 5.000,STK
"Processor: 2.5GHz Intel Core Ultra 9 Series 2 Core Ultra 285H up to 5.4 gigahertz (16-core), Memory: 32GB DDR5 7467MHz RAM, Storage: 2TB PCIe® 4.0 NVMe™ M.2 Solid State Drive, Display: 16"" 2.5K (2560x1600) IPS Anti-Glare Refresh Rate 240Hz Brightness: 500 nits, 2.5Gb 10/100/1000/2500Mbps LAN Wi-Fi 7 802.11be+Bluetooth 5.4 Wireless Card",,
Video Card: NVIDIA GeForce RTX 5090 24GB GDDR7,,
"Windows 11 Home x64, preinstalado.
 Peso 1,95Kg. - 720P HD camera 2-speaker system with Smart Amplifier Technology",,
"ASUS TUF A18 (FA808UM-IS74) 18"" 2K GAMING LAPTOP IPS 144Hz GRAY",USD 1.850,STK
"Processor: 3.8GHz AMD Ryzen™ 7 260 (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads), AMD XDNA™ NPU up to 16TOPS, Memory: 16GB DDR5 5600 MHz RAM, Storage: 1TB PCIe® 4.0 NVMe™ M.2 Solid State Drive, Display: 18"" Full HD+ (1920 x 1200, WUXGA), 16:10 aspect ratio, 30nits 144Hz refresh rate, RJ45 LAN port (left) Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 , Backlit Chiclet Keyboard 1-Zone RGB",,
Video Card: NVIDIA GeForce RTX 5060 8GB GDDR7,,
"Windows 11 Home x64, preinstalado.
 Peso 3,00Kg. - 1080P FHD IR Camera for Windows Hello Built-in array microphone; 1x 35mm Combo Audio Jack",,
"ASUS ROG Strix NEBULA G18 (G815LM-IB96) 18"" 2,5K GAMING LAPTOP IPS ECLIPSE GRAY  (Pad Numérico)",USD 3.000,STK
"Processor: 2.7 GHz Intel® Core™ Ultra 9 Processor 290HX PLUS (36MB Cache, up to 5.5 GHz, 24 cores, 24 Threads), Memory: 32GB DDR5 5600 SO-DIMM RAM, Storage: 1TB PCIe® 4.0 NVMe™ M.2 SSD, 18'' 2.5K (2560x1600), IPS, 300Hz refresh rate, 3ms, G-Sync; 16:10 aspect ratio; 500nits, RJ45 LAN port, Wi-Fi 7(802.11be) (Triple band) 2*2 + Bluetooth® 5.4 Wireless Card, Backlit 4-Zone RGB Chiclet Keyboard with Copilot key",,
Video Card: NVIDIA® GeForce RTX™ 5060 Laptop GPU 8GB DDR7,,
"Windows 11 Home x64, preinstalado.
 Peso 3,00Kg. - 1080P FHD IR Camera for Windows Hello, Built-in array microphone2",,
"ASUS ROG STRIX 18 (G815LR-IS97) 18"" 2.5K WQXGA GAMING LAPTOP 240Hz ECLIPSE GRAY (Pad Numerico)",USD 3.400,STK
"Processor: Intel® Core™ Ultra 9 Processor 275HX 2.7 GHz (36MB Cache, up to 5.4 GHz, 24 cores, 24 Threads), Memory: 32GB DDR5 5600MHz RAM, Storage: 2TB PCIe® 4.0 NVMe™ M.2 Solid State Drive, Display: ROG Nebula Display;18""; 2.5K (2560x1600, WQXGA) 16:10 aspect ratio, 500nits 240Hz refresh rate, Wi-Fi 7(802.11be) (Triple band), Bluetooth® 5.4",,
"Video Card: NVIDIA® GeForce RTX™ 5070 Ti, 12GB GDDR7",,
"Windows 11 Home x64, preinstalado.
 Peso 3,00Kg. - 1080P FHD IR Camera for Windows Hello, Built-in array microphone",,
"ASUS ROG STRIX G18 (G815LW-G18.U95080) 18"" 2.5K WQXGA GAMING LAPTOP 240Hz ECLIPSE GRAY (Pad Numerico)",USD 3.900,STK
"Processor: Intel® Core™ Ultra 9 Processor 275HX 2.7 GHz (36MB Cache, up to 5.4 GHz, 24 cores, 24 Threads), Memory: 32GB DDR5 5600MHz RAM, Storage: 2TB PCIe® 4.0 NVMe™ M.2 Solid State Drive, Display: ROG Nebula Display;18""; 2.5K (2560x1600, WQXGA) 16:10 aspect ratio, 500nits 240Hz refresh rate, Wi-Fi 7(802.11be) (Triple band), Bluetooth® 5.4",,
Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7,,
"Windows 11 Home x64, preinstalado.
 Peso 3,48Kg. - 1080P FHD IR Camera for Windows Hello",,
"ASUS ROG Strix SCAR 18 (G835LX-XS98) 90NR0LF1-M00730 18"" 2.5K WQXGA GAMING LAPTOP OFF BLACK",USD 5.900,CONS
"Processor: 2.7GHz Intel Core Ultra 9 275HX (36MB Cache, up to 5.4 GHz, 24 cores, 24 Threads), Memory: 64GB DDR5-5600 RAM, Storage: 2TB PCIe® 4.0 NVMe™ M.2 Performance SSD, Display: 18"" 2.5K (2560 x 1600) WQXGA WQXGA Mini LED Anti-Glare 240Hz, Wi-Fi 7(802.11be) (Triple band), Bluetooth® 5.4 Wireless Card",,
Video Card: NVIDIA GeForce RTX 5090 24GB GDDR7,,
"Windows 11 Home x64, preinstalado.
 Peso 3,48Kg. - 1080P FHD IR Camera for Windows Hello, Built-in array microphone",,
DELL GAMER,,
"DELL ALIENWARE (LDA15265-7256BLK) 15.3"" 2K GAMING LAPTOP 165Hz BLACK",USD 2.400,STK
"Processor: 3.8 gigahertz AMD Ryzen 7 260 (8-core), Memory: 32GB DDR5 5600 megahertz RAM, Storage: 1TB PCIe® NVMe™ M.2 Solid State Drive, Display: 15.3"" Full HD+ (1920 x 1200) LCD Refresh Rate: 165Hz, Brightness: 300 nits, Wi-Fi 6 Bluetooth",,
Video Card: NVIDIA GeForce RTX 5060 8GB,,
"Windows 11 Home x64 bits, preinstalado
 Peso 2,69 Kg, FHD IR Camera Display with dual-array microphones,",,
"DELL ALIENWARE 18 AREA-51 (LAA18250-9444B) 18"" QHD+ GAMING LAPTOP LIQUID TEAL",USD 3.900,STK
"Processor: Intel® Core Ultra 9 275HX (24-Core, 36MB Total Cache, 2.7GHz to 5.4GHz), Memory: 32GB 6400 MT/s RAM, Storage: 2TB PCIe® NVMe™ M.2 Solid State Drive, Display: 18"" QHD+ ComfortView+ Anti-Glare Display, Ethernet Card: Killer E5000 2.5GbE LAN, Intel Killer Wi-Fi 7 BE1750, Bluetooth 5.4",,
Video Card: NVIDIA® GeForce RTX™ 5070 Ti 12GB GDDR7,,
"Windows 11 Home x64 bits, preinstalado
 Peso 4,34 Kg, FHD IR Camera Display with dual-array microphones,",,
"DELL ALIENWARE AREA-51 (LAA18250-9383BLU) 18"" QHD+ GAMING LAPTOP 300Hz LIQUID TEAL",USD 4.900,STK
"Processor: Intel® Core Ultra 9 processor 275HX (24-Core, 36MB Total Cache, 2.7GHz to 5.4GHz), Memory: 64GB DDR5 6400 RAM, Storage: 2TB M.2 PCIe NVMe SSD, Display: 18"" QHD+ (2560 x 1600) 300Hz, 3ms, ComfortView Plus, NVIDIA G-SYNC + DDS, 100% DCI-P3, FHD IR Camera, Intel Killer™ 1750 and Bluetooth 5.4",,
Video Card: NVIDIA GeForce RTX 5090 (24GB GDDR7),,
"Windows 11 Home x64 bits, preinstalado
 Peso 4,23Kg, Integrated 1080p at 30 fps FHD IR camera Dual-array microphones",,
HP GAMER,,
"HP HyperX OMEN (15-ga0103cl) 15.3"" 2.5K IPS GAMING LAPTOP 180Hz BLACK",USD 2.800,STK
"Processor:Intel® Core™ Ultra 9 275HX up to 5.4 GHz with Intel® Turbo Boost Technology (24 cores), Memory: 32GB DDR5-5600 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 SSD, Display: 15.3"" 2.5K (2560 x 1600), up to 180 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 500 nits, 100% sRGB, Variable Refresh Rate support, Wi-Fi 7 (2x2) and Bluetooth® 6.0 wireless card, Integrated 10/100/1000 GbE LAN, HyperX with dual speakers, DTS: X® Ultra",,
Video Card: NVIDIA® GeForce RTX™ 5070 Laptop GPU (8 GB GDDR7 dedicated),,
"Windows 11 Home x64 bits, preinstalado
 Peso 2,53Kg, 1080P FHD camera with HDR auto switch and temporal noise reduction",,
"HP OMEN 16 SLIM (16-an0003nr) 16"" 2K IPS GAMING LAPTOP 165Hz SHADOW BLACK [Pad Numérico]",USD 2.400,STK
"Processor: 1.5GHz Intel Core Ultra 7 255H (Series 2) Up to 5.1GHz (16-core), Memory: 32GB DDR5-5600 RAM, Sorage: 1TB PCIe Gen4 NVMe M.2 SSD, Display: 16"" 2K IPS Micro-Edge Low Blue Light Anti-Glare Refresh Rate: 60-165Hz, 10/100/1000 Network, WiFi 6E+Bluetooth 5.3 Wireless Card, Full-size 4-zone RGB backlit 26-Key Rollover Anti-Ghosting Key Technology",,
Video Card: NVIDIA GeForce RTX 5070 8GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 2,45Kg. - 1080P Webcam and Microphone",,
"HP HyperX OMEN MAX (16-ah1023dx) 16"" 2K OLED GAMING LAPTOP 240Hz SHADOW BLACK",USD 3.800,STK
"Processor: 5.5 gigahertz Intel Core Ultra 9 Series 290HX Plus (24-core), Memory: 32GB DDR5-5600 RAM, Storage: 1TB Solid State Drive PCIe 4.0, Display: 16"" 2K (2560 x 1600) UWVA OLED GAMING Refresh Rate: 240Hz, Synchronization Technology: G-SYNC (NVIDIA Adaptive Sync), Brightness: 1100 nits, Wi-Fi 7 Bluetooth, Power Supply Maximum Wattage
 460 watts, Speaker Type: HyperX with dual speakers",,
Video Card: NVIDIA GeForce RTX 5070 Ti 12GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 2,98Kg. - 1080P Webcam and Microphone",,
LENOVO GAMER,,
"LENOVO LEGIO 5 (83Q6003BUS) 15.3"" 2.5K OLED GAMING LAPTOP 165Hz ECLIPSE BLACK [Pad Numérico]",USD 2.800,STK
"Processor: AMD Ryzen™ AI 9 465 (10C / 20T, 2.0 / 5.0GHz, 10MB L2 / 24MB L3), Memory: 32GB SODIMM DDR5-5600 RAM, Storage: 1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Display: 15.3"" WQXGA (2560x1600) OLED 1000nits (peak) / 500nits (typical) Glossy, 100% DCI-P3, 165Hz, G-SYNC®, DisplayHDR™ True Black 1000, 100/1000M (RJ-45) Wi-Fi® 7, 802.11be 2x2 + BT5.4, 24-Zone RGB Backlit, English",,
Video Card: NVIDIA® GeForce RTX™ 5070 8GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 1,87Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGION 7A (83Q8001HUS) 16"" 2.5K OLED GAMING LAPTOP 240Hz GLACIER WHITE",USD 3.800,STK
"Processor: 2 gigahertz AMD Ryzen Al 9 HX 470 (12-core), , Memory: 32GB LPDDR5X 8533 megahertz RAM, Storage: 1TB SSD, Display: 16"" OLED (2560 x 1600) Refresh Rate: 240Hz, Brightness: 500 nits, Wi-Fi 7 Bluetooth",,
Video Card: NVIDIA® GeForce RTX™ 5070 8GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 1,80Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGION PRO 5i (83LU0052US) 16"" 3K OLED GAMING LAPTOP 240Hz ECLIPSE BLACK [Pad Numérico]",USD 3.400,STK
"Processor: 2.1GHz Intel Core Ultra 9 275HX, 24C (8P + 16E) / 24T, Max Turbo up, Memory: 32GB CSODIMM DDR5-5600hz RAM, Storage: 1TB SSD M.2 2280 PCIe® 4.0 Performance NVMe®, Display: 16"" WQXGA (2560x1600) OLED 500nits Glossy, 100% DCI-P3, 240Hz, DisplayHDR™ True Back 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free, 2.5GbE (RJ-45) Wi-Fi® 7, 802.11be 2x2 + BT5.4",,
Video Card: NVIDIA GeForce RTX 5070 Ti 12GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 2,05Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGION PRO 7 (83RU0005US) 16"" 2.5K OLED GAMING LAPTOP 240Hz ECLIPSE BLACK [Pad Numérico]",USD 4.900,ING
"Processor: AMD Ryzen 9000 Series 9955HX3D 2.5GHz Up to 5.4GHz (16 Core), Memory: 64GB DDR5-5600 RAM, Storage; 2TB M.2 Solid State Drive, Display: 16"" WQXGA OLED (2560x1600) Glossy 240Hz Brightness 500 nits, 2.5Gb LAN Wireless LAN Wifi 7 (802.11be) Bluetooth 5.4, Per-key RGB Backlit",,
Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 2,62Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGIO PRO 5i (83F3000HUS) 16"" 2.5K OLED GAMING LAPTOP 165Hz ECLIPSE BLACK (Pad Numerico)",USD 3.100,ING
"Processor: Intel® Core™ Ultra 9 Processor 275HX, 24C (8P + 16E), Memory: 32GB DDR5-5600 RAM, Storage: 1TB Solid State Drive M.2 2242, Display: 16"" WQXGA (2560x1600) OLED 500nits (Typical) 165Hz, Wi-Fi® 7, 802.11be 2x2 + BT5.4",,
NVIDIA® GeForce RTX™ 5070 8GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 2,05Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGION PRO 7 (83RU004AUS) 16"" 3K OLED LAPTOP 240Hz ECLIPSE BLACK [Pad Numérico]",USD 4.600,STK
"Processor: 2.5 gigahertz AMD Ryzen 9 9955HX3D Series (16-core) , Memory: 32GB 5600 megahertz RAM, Storage: 1TB SSD M.2 2280 PCIe® 4.0 Performance NVMe®, Display: 16"" WQXGA (2560x1600) OLED 500nits Glossy, 100% DCI-P3, 240Hz, DisplayHDR™ True Back 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free, 2.5GbE (RJ-45) Wi-Fi® 7, 802.11be 2x2 + BT5.4",,
Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7 DLSS 4 (Deep Learning Super Sampling),,
"Windows 11 Home x64, preinstalado. 
 Peso 2,62Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGION PRO 7 (83F500M6US) 16"" OLED GAMING LAPTOP 240Hz ECLIPSE BLACK [Pad Numérico]",USD 5.700,STK
"Processor: 1.8GHz Intel Core Ultra 9 290HX Plus, Memory: 64GB DDR5-6400 RAM, Storage: 2TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" WQXGA OLED Low Blue Light Glossy 240Hz, 2.5GbE LAN, WiFi 7 802.11be+Bluetooth 5.4",,
Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 2,56Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGION PRO 7  (83F500M5US) 16"" OLED GAMING LAPTOP 240Hz ECLIPSE BLACK [Pad Numérico]",USD 6.800,ING
"Processor: Intel Core™ Ultra 9 290HX Plus, 24C (8P + 16E) / 24T, Max Turbo up to 5.5GHz, Memory: 64GB CSODIMM DDR5-6400, Storage: 2TB SSD M.2 2280 PCIe® 5.0x4 Performance NVMe®, Display: 16"" WQXGA (2560x1600) OLED 500nits (typical) / 1100nits (peak) Glossy, 100% DCI-P3, 240Hz, DisplayHDR™ True Black 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free",,
Video Card: NVIDIA GeForce RTX™ 5090 24GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 2,57Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGION 9I (83EY006QUS) 18"" IPS GAMING LAPTOP 240Hz ECLIPSE BLACK [Pad Numérico]",USD 5.900,STK
"Processor: 1.8GHz Intel Core Ultra 9 290HX Plus , Memory: 64GB DDR5-5200 RAM, Storage: 2TB SSD M.2 2280 PCIe® 4.0 Performance NVMe®, Display: 18"" WQXGA IPS Low Blue Light 240Hz Display, DisplayHDR™ True Back 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free, 2.5GbE (RJ-45) Wi-Fi® 7, 802.11be 2x2 + BT5.4",,
Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7,,
