ACER,,
"Processor: Intel® Core™ Ultra 9 Processor 386H 2.1 GHz (18MB Cache, up to 4.9 GHz, 16 cores, 16 Threads), Memory: 32GB LPDDR5X RAM, Storage: 1TB PCIE G4 Solid State Drive, Video Card: Intel® Graphics, Display: 16'' OLED WUXGA (1920x1200) Touch, 16:10, 60Hz refresh rate, Bend+300nits, Wi-Fi 7(802.11be) (Triple band) 2*2 + Bluetooth® 6.0 Wireless Card,",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,96Kg. - 1080p FHD camera;With privacy shutter, Built-in microphone",,
DELL,,
"DELL LATITUDE 5350 (LAT5350U732512T) 13.3"" FULL HD TOUCHSCREEN LAPTOP TITAN GRAY",USD 1.400,STK
"Processor: 1.7GHz Intel Core Ultra 7 165U Up to 4.9GHz Series 1 Twelve-Core, Memory: 32GB LPDDR5X-6400 RAM, Storage: 512GB SSD, Video Card: Intel Graphics Integrated, Display: 13.3"" Full HD Touchscreen Anti-Glare 
 300 nits, Wireless LAN WiFi 6 (802.11ax), Bluetooth 5.3",,
"Microsoft® Windows 11 PRO (64-bit), preinstalado
 Peso 1.23Kg, 1080p. Integrated Webcam with dual-array microphone",,
"DELL PLUS (LDB04250-7632BLU) Copilot+ PC 14"" 2K NOTEBOOK 2-IN-1 ICE BLUE",USD 1.550,ING
"Processor: 2.2 gigahertz Intel Core Ultra 7 Series 2 256V (8-core), Memory: 16GB LPDDR5X 8533 MHz RAM, Storage: 512GB PCIe NVMe M.2 Solid State Drive, Video Card: Intel Arc Graphics, Display: 14"" Full HD+ (1920x1200) Refresh Rate
 60Hz, Brightness: 300 nits, Wi-Fi, Bluetooth",,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 1.62Kg, 1080p. Integrated Webcam with dual-array microphone",,
"DELL PLUS (LDB04250-9168BLU) 14"" 2K TOUCHACREEN LAPTOP 2-IN-1 ICE BLUE",USD 1.650,STK
